,Name,Website,Email,Telephone Number,Description,
,,https://www.dmcsevilleevent.com/,info@letsgotospain.es,(+34) 637 878 768,,
,,,,,,
,Passeig de Gracia Association | Spain,"https://luxperience.com.au/exhibitor/passeig-de-gracia-association/

https://barcelonapaseodegracia.com/","luxperience@divcom.net.au

info@barcelonapasseigdegracia.com","(+61) 2 9275 9212

[+34] 93 302 76 16","Exclusive Shopping and Lifestyle Experiences in the most upscale destination in Barcelona. Passeig de Gràcia Association represents over 180 establishments right in the city center with the best luxury offer regarding culture and architecture, shopping, gastronomy & wine, accommodation, health & beauty, as well as unique experiences, we can help you plan and tailor.
",
,Catalonia Tourist Board | Spain,https://luxperience.com.au/exhibitor/catalonia-tourist-board/,luxperience@divcom.net.au,(+61) 2 9275 9211,"Catalonia Tourism Board belongs to the regional government of Catalonia (North-Eastern Spain), promoting its capital Barcelona and the rest of its region. It works to promote Catalonia as the desired tourism and lifestyle destination to Australia and New Zealand from the Singapore & Sydney offices
",
,THE REAL THING | Spain,"https://luxperience.com.au/exhibitor/the-real-thing/

http://www.therealthing.es/",info@therealthing.es.,,"THE REAL THING is a DMC, specialized in the organization of tailor-made trips in Spain and Portugal. Our unique cultural and gastronomic experiences are designed to meet the needs and expectations of those sophisticated clients looking for the authentic and the slow.",
,Spain Tourism Board | Spain,"https://luxperience.com.au/exhibitor/spain-tourism-board/

https://www.spain.info/en/",,,"The National Tourist Office of Spain (Spain Tourism Board) is responsible for promoting and marketing travel and tourism to Spain from within designated foreign markets. The Spain Tourism Board in Singapore covers the Southeast Asian, Australian, and New Zealand markets respectively. It organises events which help promote tourism into Spain from all these mentioned countries, promoting all areas of tourism in Spain and also working with the Autonomous Regions, City Tourism Offices, Convention Bureaus and other local travel entities and the private sector in achieving this goal and aim. It bridges all stake holders such as the wholesalers, travel agencies and tour operators from all these mentioned markets with the local Spanish tourism authorities and some Spanish travel service providers from both public and private sectors. Spain is a prime destination in Europe for affluent travellers with diverse product offerings from 5-star luxury accommodation to historical buildings converted to become deluxe hotels of excellent quality and service. VIP transport services, exclusive multi-lingual guides for tailor made sightseeing and to bespoke activities like teeing off in exclusive golf clubs, relaxing moments in high end spa and wellness facilities, personalized shopping experience, all these and many more. The seventeen regions have unique products and services to offer to your special guests and travellers, enough to make them come back repeatedly and explore more.",
ITALY,Perfetto Traveler Italy,https://www.perfettotraveler.com/,info@perfettotraveler.com,(+1) 212 340 0306,,
,,http://www.italiaconnection.com/fashion-show/,info@italiaconnection.com,(+39) 06 39731537,https://www.instagram.com/italia_connection/,
,Unique Retreats | Italy,"https://luxperience.com.au/exhibitor/unique-retreats/

https://www.uniqueretreats.com/",contact@uniqueretreats.com,(+34) 68 68 75 021,"Unique Retreats is a selection of boutique luxury hotels and a DMC located in Italy, one of a kind properties all off the beaten track. Amazing properties and incredible experiences all in unique, breathtaking locations.
",
,ALIDAYS ITALY | Italy,"https://luxperience.com.au/exhibitor/alidays-italy/

https://www.alidays.it/",customercare@alidays.it,(+39) 02872384 06,"Since 1992, Alidays Travel Experiences offers custom-designed travel packages to all major destinations all around the world. After years of successful business and several quality, awards won, we decide to open to the world giving the chance to truly discover our beautiful country: Italy. 
",
,Carrani Tours | Italy,"https://luxperience.com.au/exhibitor/carrani-tours/

https://www.carrani.com/",segreteria@carrani.com,(+39) 06 432181 ,"Since 1925, Carrani Tours offers products and services throughout the entire territory of Italy operating with passion and professionalism. Providing travel solutions for individuals and groups, specializing in the cities of art with attention to culture, history and regional gastronomy, incentive travel, leisure travel, guided visits in special interest destinations.
",
,Escursioni Italiane SRL | Italy,https://luxperience.com.au/exhibitor/escursioni-italiane-srl/,,,,
,EXCELLENCE DMC | Italy,"https://luxperience.com.au/exhibitor/excellence-dmc/

https://www.excel-lence.it/",dmc@excel-lence.it,(+39) 06 90253248,"For 30yrs we have served thousands of foreign companies both for groups, individuals, special interest tours, tailor-made itineraries, villas and luxury apartments. We can offer both classic destinations and off the beaten tracks tours. Our philosophy is to offer unequaled products but always granting the maximum assistance to passengers, the only key to success.
",
,FUORITINERARIO – DISCOVER YOUR ITALY | Italy,"https://luxperience.com.au/exhibitor/fuoritinerario-discover-your-italy/

https://discoveryouritaly.com/",info@discoveryouritaly.com,(+39) 075 5008656,Our primary specialty is Italy and we consider the Off the Beaten Path Itineraries as our secondary specialty. We’ve divided our range of tours into two types: Your Italy- bespoke FIT itineraries & Our Italy- unique small group tours.,
,Italian Details International | Italy,"https://luxperience.com.au/exhibitor/italian-details-international/

https://italiandetailsintl.com/",e.zago@italiandetailsintl.com,,"Destination Experts, customizing unforgettable experiences and guaranteeing unspoiled itineraries for Fit, Groups, Weddings, Yachts and Incentives throughout Italy. Active programs, unique behind the scenes, High speed vehicles on ice and tracks. Unlimited range of activities.
",
,Land of Fashion | Italy,"https://luxperience.com.au/exhibitor/land-of-fashion/

https://www.landoffashion.it/en/home",,,"Land of Fashion is a group of 5 Outlets located in key touristic destinations across Italy. Offering more than 600 shops including most Italian and International brands at discounted prices. Special services for tourists include additional discounts, complimentary drinks, VIP parking and much more.
",
,The Mall Luxury Outlets | Italy,"https://luxperience.com.au/exhibitor/the-mall-luxury-outlets/

https://www.themall.it/",info@themall.it,(+39) 055 8657775,"The Mall Luxury Outlets is a fashion company whose core business is to build and operate luxury fashion outlet malls. Our malls, The Mall Firenze and The Mall Sanremo, offer the opportunity to purchase clothing and accessories from top fashion luxury brands at advantageous prices.
",
,Mappamondo Incoming Services | Italy,"https://luxperience.com.au/exhibitor/mappamondo-incoming-services/

https://www.mappamondo.com/",,,"Professionalism, service, competitiveness and flexibility: since 1976 these concepts are the corner stones of our company. Mappamondo Incoming Services is a Destination Management Company, not an Olta (On Line Travel Agency).",
,Massari Travel | Italy,"https://luxperience.com.au/exhibitor/massari-travel/

https://www.massari-travel.com/",booking@massari-travel.com,(+39) 06 4821873,"Since 1967 Massari Travel has welcomed discerning travelers from all over the world, providing them with the best experience and levels of service exceeding their expectations. Outstanding attention to detail and in-depth knowledge of Italy are key strengths of Massari that have allowed us to become one of the leading incoming travel organizations in Italy.",
,Missing Italia DMC | Italy,"https://luxperience.com.au/exhibitor/missing-italia-dmc/

https://www.missingitalia.com/",missing@missingitalia.com,(+39) 049 97 04 834,"Imagine having a different menu every time, because that's how we work, offering a myriad of services, reinvented and customised itineraries to Italy each time. Our trips are special occasions to establish relationships with Italian destinations visited. Beyond the realms of each trip, we want guests living their individual Travel experiences; unique, personal, participatory.",
,Scenic Travel Service | Italy,"https://luxperience.com.au/exhibitor/scenic-travel-service/

https://www.scenictravel.it/",info@scenictravel.it,(+39).0818072433,"Scenic Travel Service, D.M.C. since 1960, welcomes you and your clients to Italy. With more than 50 years of experience in the tourism sector our specialized staff can offer an extensive range of top-quality services.",
,SONO Travel Club | Italy,"https://luxperience.com.au/exhibitor/sono-travel-club/

https://www.sonotravelclub.com/",info@sonotravelclub.com,(+39) 06 6228 7888,"SONO Travel Club, the independent luxury division of Destination Italia, offers the rare chance to experience Italy in an exclusive and authentic way, living as an insider instead of as a tourist. Our name, that in Italian means “I am”, represents the mission to understand our guests, their culture, their individual needs and their preferences, and to contribute our insight of the destinations. We wish our guests first to dream, then to enjoy and finally to look forward to their next occasion to come around our places, together with SONO and our partners. Our dedicated multilingual Travel Designers are ready to create your Tailormade and exclusive experience!

",
FLORENCE,,https://www.italiaconnection.com/,info@italiaconnection.com,(+39) 393 1660706,,
,,https://dmcprofessionals.com/dmc-florence/,info@dmcprofessionals.com,"(+31) 570 605 831
+420 724 009 164
+55 11 3042 4006
+27 11 465 8798",,
,,https://loveit-dmc.com/florence-dmc/,info@loveit-dmc.com,(+39) 064814948,,
,Destination Florence and the Florentine Area | Italy,https://www.destinationflorence.com/,helpdesk@destinationflorence.com,(+39) 055 000,"Destination Florence is the leisure division of Destination Florence CVB. Developed in partnership with the City of Florence, the aim is to promote Florence and its surroundings as ideal destination for quality and luxury leisure tourism, guiding clients in the selection of the best solutions and exclusive experiences from accommodation to all the other related services.
",
*** info,"Artisans listed at end of workshops to visit 
Shoe maker - longer stays",https://padraicino.com/florence-city-of-art-and-artisans/,,,,
,,,,,,
SISCILY,,https://www.sicilyevents.com/gala-dinners/,info@sicilyevents.com,(+39) 0942 47663,,
,TripPuzzle | Italy,"https://luxperience.com.au/exhibitor/tour-of-sicily/

https://trippuzzle.com/",gabriella@trippuzzle.com ,(+39) 338 4898077,,
,Absolute Sicilia | Italy,"https://luxperience.com.au/exhibitor/absolute-sicilia/

https://www.absolutesicilia.com/",info@absolutesicilia.com,(+39) 091 3823783,"Absolute Sicilia is the luxury brand of Tour Plus Sicilia, one of the main DMC of Sicily since 1996. Specialized in any sort of tailor-made service and experience in the island of Sicily, we gather a multilingual staff - with a strong background on tourism, wine, food, history, archeology and activities- who creates amazing and unique memories for demanding guests.
",
,Tour of Sicily | Italy,"https://luxperience.com.au/exhibitor/tour-of-sicily/

https://www.tourofsicily.com/",info@tourofsicily.com,(+1) 718-473-0803,"Inbound Tour Operator specialized in customized day and multi-day tours & Experiences in Sicily, Apulia & Amalfi Coast and Malta. Experiences include Food & Wine Experience, Truffle Hunting, Dine with locals, as well as cooking classes which are always a highlight and let your clients experience the destination thanks to our expert driver-escorts.
",
,ULISSE TOUR OPERATOR & DMC | Italy,"https://luxperience.com.au/exhibitor/ulisse-tour-operator-dmc/

https://www.ulissetouroperator.com/",info@ulissetouroperator.com,(+39)091517880,"Ulisse makes their clients’ wishes come true, creating an interesting combination of styles and professionalism that offers clients all the colourful sides of Sicilian traditions: art, culture, food, wine and nature. We create exciting itinerary and experiences, providing fresh ideas and concepts making your holiday or event a true “once in a lifetime” experience. Be Unexpected.

",
Italy / Florence/  Rome,https://www.conventionbureauitalia.com/form_RFP2.php,,,,,
,https://www.conventionbureauitalia.com/en/first-travel-italy/,,,(+39) 3207679669,,
,https://dmcprofessionals.com/dmc-florence/,,info@dmcprofessionals.com,(+31) 570 605 831,,
,https://www.italycreative.it/leisure-travel/art-design/,,welcome@italycreative.it,(+39)3891719221,,
,https://www.conventionbureauitalia.com/en/pr-incentives/,,,,,
ROME,https://ovationdmc.com/wp-content/uploads/2017/08/Rome-5-nights-I.pdf,,,,,
,,,,,,
,,,,,,
FRANCE,,http://provenceriviera-dmc.com/,contact@provenceriviera-dmc.com,(+ 33) 4 42 38 91 38,,
,,https://eventisimo.com/en,info@eventisimo.com,(+34) 934 442 598,,
,,https://www.french-dmc.com/en,contact@corpo-events.fr,(+33) 0 4 67 07 30 97,,
,,http://dmc-paris-france.com/french-riviera-provence/,contact@dmc-paris-france.com,(+33) 0 9 87 30 85 71,,
,,https://brojure.com/the-dmc-group/the-dmc-group/a/49978/french-riviera,,,,
,,https://www.visitsanremo.it/en/cannes-and-grasse/,,,,
,,https://www.mondoramas.com/en/group-travel/festivities/festivities-flower-festivals/french-riviera-the-violet-festival-dmc-provence.html,mondoramas@mondoramas.com,(+33) 442 360 360,,
PARIS,,https://www.paris-key.com/,CONTACT@PARIS-KEY.COM,(+33) 0 185 090 324,,
,,https://www.french-dmc.com/en/destinations/paris,contact@corpo-events.fr,(+33) 0 4 67 07 30 97,,
,,https://www.paris-key.com/home#references,CONTACT@PARIS-KEY.COM,(+33) 0 185 090 324,,
JAPAN,,http://www.thejteam.jp/our-contacts,,(+81) 3 6721 5313,,
INDIA,,https://www.orientexpressltd.com/index.php,travel@orientexpressltd.com,Tel: +81-3-6863-2081,,
,"DMC Japan
KNT-CT Global Travel
",https://camail.knt.co.jp/form/pub/knt_kbc/dmcjapan,"dmcjapan@or.knt.co.jp
",(+81) 3 6721 5313,,
,Beauty of Japan | Japan,"https://luxperience.com.au/exhibitor/beauty-of-japan/

https://beauty-of-japan.com/",info@bojinc.com,(+81)-3-6222-9696,Beauty of Japan is a boutique luxury DMC based in Tokyo offering tailor-made tour arrangement for luxury FIT and small groups. Our coverage is nationwide and our experienced bilingual staff will develop bespoke itinerary based on client's interests and request that includes off-the-beaten-path and/or unique experiences.,
,Eighty Days Japan | Japan,"https://luxperience.com.au/exhibitor/eighty-days-japan/

https://80days.co.jp/",contact@80days.co.jp,(+81)-3-4405-4444,"Eighty Days Japan is a Tokyo-based DMC providing high-end, tailor-made FIT tours, educational trips, and special-interest experiences. Whenever possible, we strive to introduce customers to beautiful, rarely visited destinations in Japan’s stunning countryside.",
,Hotel Chinzanso Tokyo | Japan,"https://luxperience.com.au/exhibitor/hotel-chinzanso-tokyo/

https://hotel-chinzanso-tokyo.com/",info@hotel-chinzanso.com,(+81) 3 3943-1111,"It’s rare to find an inner-city hotel set within any kind of parkland much less a 700-year-old Japanese garden complete with a shrine, a tea room and rows of cherry blossom trees. Located about 15 minutes from Tokyo’s central business district in the Bunkyo neighborhood, the hotel is set away from the city’s bright lights and buzzy energy.",
,TOKYO TOURISM | Japan,"https://luxperience.com.au/exhibitor/tokyo-tourism/

https://www.gotokyo.org/en/index.html",,,"Japan's thriving and vibrant capital Tokyo, a metropolis where old meets new, a city rich in culture and diversity. Tokyo Convention & Visitors Bureau provides destination information with the vision of “making Tokyo the world's choice”.",
BALI,,https://dmcprofessionals.com/dmc-bali/,,,,
SCANDANAVIA,,https://hadlerdmc.com/,,,,
IRELAND,Moloney & Kelly,https://www.moloneykelly.com/,,,,
MOROCCO,,https://www.terramardestinations.com/,,,,
,,https://www.dmcenjoy.com/,,,,
,,We Plan Morocco,,,,
AFRICA,,Dare to Explore South Africa,,,,
,,Travel Wild East Africa,,,,
SOUTH AFRICA,DARE TO EXPLORE african adventures ,,"Angie Karan
angiek@daretoexplore.co.za",,"• Owner run and managed for over 18 years • Southern Africa Boutique DMC • Custom designed tours of Southern Africa • Creative and out of the ordinary itineraries • Tours with a focus on specific interests: Food & Wine, Culture, Adventure, Art & Architecture • Access to exclusive use properties • In house concierge service",
AUSTRALIA,Cultural Attractions of Australia | Australia,https://luxperience.com.au/exhibitor/cultural-attractions-of-australia/,,,"Cultural Attractions of Australia is an industry-led collective of iconic Australian arts and cultural attractions that have joined forces to present the best of Australia’s cultural offering to the world. Each attraction has developed premium experiences, ensuring unrivalled access and attention for their guests who can expect the unexpected.
",
,Destination Artisans | Australia,https://luxperience.com.au/exhibitor/destination-artisans/,,,"Destination Artisans is an inbound destination management agency specialising in bespoke, private tours to all regions of France and Belgium, either individually or in small escorted groups. We handle every travel detail, from arrival to departure. Each itinerary we craft is tailored to the interests of our clients, including culture, gastronomy​, architecture and so much more.
",
